topic_id,topic,T/F,speecher,id,reference
4,n번방 가담자 '범죄단체 조직죄'로 처벌 가능하다?,True,발언인 없음,2173,
4,텔레그램 n번방 가입자들 신상공개는 어렵다?,True,발언인 없음,2169,
4,"복지부 '모바일 자가진단 앱'에 대해 ""여권 있는 사람들만 자가진단 한다?""",False,인터넷 이용자,2167,
4,변종 코로나19가 급성 패혈증 유발한다,False,인터넷 커뮤니티 및 SNS,2171,출처: 인터넷 커뮤니티
4,공중화장실 비누로 바이러스 전파 가능하다,False,SNS와 커뮤니티 이용자,2100,
4,"""코로나19 확진자, 19일 치료받고 퇴원시 본인부담금 4만원가량""",True,페이스북 이용자,2156,출처: 페이스북 게시물(코로나19 확진자의 진료비 영수증)
4,"코로나19 확진자 동선공개, 개인정보보호법 위반?",False,인터넷 커뮤니티 및 SNS,2161,
4,'조국 사태' 이후 변경된 검찰의 인권보호수사규칙으로 N번방 피의자의 신상공개와 언론노출(포토라인 세우기)이 불가능해졌다.,False,정원석,2160,출처: 3월23일 정원석 미래통합당 선거대책위원회 상근대변인 논평
4,개학 연기 조치는 고등학교 3학년 대입에 불리하게 작용한다,True,언론 보도,2157,출처: 언론 보도
4,"변이한 코로나19 유전자, 진단키트로 못 잡는다",False,인터넷 커뮤니티 이용자,2159,출처: 인터넷 커뮤니티
4,"""개학연기로 인해 초등학교 여름방학이 4일뿐이다""",False,온라인 커뮤니티 이용자,2153,출처: 언론보도
4,A형이 코로나19에 가장 취약하고 O형이 상대적으로 강하다,False,언론 보도 및 온라인 커뮤니티 이용자,2152,출처: 언론 보도
4,사회적 거리두기 그만해도 된다,False,최재욱,2150,출처: YTN라디오 '노영희의 출발 새아침'
4,소금으로 코로나19 바이러스를 예방·치료한다.,False,인터넷 이용자,2148,
4,학교에는 ‘일 안 해도 월급 받는 그룹’이 있다,False,조희연,2145,출처: 조희연 서울시 교육감 페이스북 페이지
4,"""길거리 방역 효과 없다""",True,온라인 커뮤니티 이용자 및 뉴스 댓글 이용자,2136,출처: 온라인 커뮤니티 디시인사이드 게시글
4,"""의약계가 코로나19 변이에 따른 2차 파동 우려하고 있다.""",False,인터넷 커뮤니티 이용자,2142,출처: 개인블로그
4,“코로나19에 걸렸다 나은 뒤에도 폐손상이 너무 심하다더라”,False,온라인 커뮤니티 이용자,2140,
4,"‘美 CDC 코로나19 주의사항 10가지’, 사실이다?",False,인터넷 이용자,2135,
4,"美의료진 60명, 주한미군 기지서 코로나19 백신 개발했다",False,온라인 커뮤니티 이용자,2134,
4,"""공적마스크 약국 유통을 맡은 민영업체, 수십억원 달하는 마진 챙겼다""",False,곽상도,2132,출처: 미래통합당 곽상도 의원 공식 블로그
4,"""소금물에 담갔다 말리면 마스크 재활용 가능""",False,트위터 이용자,2131,출처: 시청자 제보 & 트위터 등 SNS
4,코로나19 접촉자 증상 없어도 강제 조사 가능하다,True,발언인 없음,2127,
4,"""일본 정부는 일본 내 가구당 40장씩 마스크를 무료 배포한다?""",False,언론 보도 및 온라인 커뮤니티 이용자,2126,출처: 3월 8일 온라인 커뮤니티
4,약국에서 공적 마스크를 구입하면 개인정보가 유출돼 선거 조작에 활용된다?,False,온라인 메신저 및 유튜브 이용자,2130,출처: 인터넷 커뮤니티
4,공적 판매 마스크를 유통하는 업체와 판매하는 약국이 부당하게 많은 유통·판매 마진을 얻고 있다?,False,인터넷 커뮤니티 이용자,2124,출처: 인터넷 커뮤니티 'MLB 파크'
4,"코로나19, 구충제로 억제할 수 있다",False,온라인 커뮤니티 이용자,2123,
4,중국 웨이하이시가 보낸 마스크는 불량이다?,False,온라인 커뮤니티 이용자,2122,
4,"""마스크 턱에 걸쳐도 괜찮다?""",False,온라인 커뮤니티 이용자,2120,
4,중국에서 한국인만 차별한다?,False,온라인 커뮤니티 이용자,2116,
4,'락스 분무기' 안전하다？,False,유튜브 이용자,2114,출처: 유튜버1
4,이만희 신천지예수교회 총회장이 기자회견 때 착용한 '박근혜 시계'는 가짜다?,True,인터넷 커뮤니티 및 미래통합당/친박계 등,2115,출처: 노컷뉴스 <이만희 손목에 박근혜 시계…'거기서 왜 나와'> 기사
4,기재부와 제약회사 사장들이 코로나 관련 회의한 결과?,False,온라인 이용자,2112,출처: 각종 온라인 게시판
4,"10초 이상 숨을 참고, 불편함 없으면 코로나19 감염안된것?",False,온라인 이용자,2113,출처: 각종 온라인 게시판
4,서울대병원 26일 아침 회의에서 나온 코로나19 특징,False,온라인 커뮤니티 이용자,2109,출처: 유튜브 '문갑식의 진짜TV'
4,기업살인법 도입으로 '위험의 외주화'를 막을 수 있다?,False,김동명,2107,"출처: 한국노총 새 위원장에 '강성' 김동명…""강한 노총 만들겠다""(뉴스1 1월21일)"
4,우한연구소로 파견되는 미국 친구의 글,False,SNS와 블로그 이용자,2103,"출처: SNS, 블로그 등"
4,"""춘해보건대 김희진 총장입니다. 헤어드라이어를 쐬어주면 바이러스가 죽습니다""",False,인터넷 루머,2101,"출처: 페이스북, 트위터 등 SNS"
4,성인지 예산 31조원은 여성가족부가 여성만을 위해 쓰는 예산이다,False,유튜브 이용자,2099,출처: 게임 유튜버 개인 채널 [오세라비 초대석 여성가족부 편]
4,일본 성범죄 비율은 한국 10분의 1이다,False,유튜브 이용자,2098,출처: 성매매 특별법 관련 종편 토론 프로그램 2차 가공 영상
4,영국 정부는 산업 안전을 위해 각 기업에 구체적 지침이 아닌 포괄적 목표만 제시한다?,True,영국 정부 관계자,2097,출처: 영국 보건안전청(HSE)
4,서울시가 관할 내 집회를 일시적으로 금지한 것은 월권행위,False,SNS와 커뮤니티 이용자,2093,출처: 온라인 커뮤니티 MLBPARK 게시글
4,남녀 임금격차는 여성이 이과/공대에 가지 않아서 생긴다,False,유튜브 이용자,2094,출처: 그 페미니즘은 틀렸다…고 / [아찔한 토론 #2] / 비디오머그
4,"""KIST 기념조형물에서 이름 삭제된 ‘조민’은 조국 딸이 아니라 동명이인이다""",False,인터넷 뉴스 댓글 이용자,2091,출처: 중앙일보 기사 댓글
4,대구에서 격리대상자 2명이 도망쳤다?,False,온라인 커뮤니티 이용자,2089,
4,"""코로나19는 전국의 유동인구를 감소시켰다""",True,발언인 없음,2087,
4,"""일상생활에서 ‘N95 마스크’가 코로나19 예방에 더 유리하다""",False,SNS와 커뮤니티 이용자,2086,
4,코로나19 3번 확진자는 슈퍼전파자이다?,False,인터넷 뉴스 댓글 이용자,2081,
4,"""정당 색은 특정 당의 소유물이 아니다.""",True,장지훈,2082,출처: 2020년 2월 13일 장지훈 국민당 창당준비위원회 부대변인의 논평
4,"자외선·손 건조기, 바이러스 살균효과 있다?",False,네이버 블로그 이용자,2079,
4,"코로나19, 아동한테는 유행하지 않는다?",False,인터넷 이용자,2078,
4,인종적 특성으로 동양인이 코로나바이러스에 취약하다?,False,일부 유럽인들,2077,
4,"신종 코로나, 일반 대기를 통해 전염되는 '공기감염병'이다?",False,인터넷 이용자,2063,출처: 유튜브 영상
4,'신종 코로나'로 휴업하면 직원 급여 안 줘도 된다?,False,발언인 없음,2073,
4,"""종이행주 마스크, 신종 코로나바이러스 감염 방지 효과 있다.""",False,온라인 이용자,2071,출처: 소셜미디어(SNS) 영상
4,"“공중화장실, 신종 코로나바이러스 위험지대”",False,언론 보도,2069,출처: 2월 3일자 홍콩 명보(明報) 신문
4,"""외국인 건강보험 적자 내국인들이 메우고 있다""",False,언론 보도 및 온라인 커뮤니티 이용자,2067,출처: 한국인권신문 칼럼 <“화가 난다!” 건강보험이 전 세계인의 ‘봉’!>
4,비타민 C가 신종 코로나를 퇴치한다?,False,페이스북 이용자,2065,출처: 필리핀인의 페이스북 글
4,"손 소독제 알코올 성분, 임산부에게 해롭다?",False,발언인 없음,2064,
4,개인 소비자가 마스크 사재기해도 단속된다?,True,발언인 없음,2062,
4,"신종 코로나 걸린 반려동물, 사람에게 바이러스 옮긴다?",False,리란 쥐안,2053,출처: 중국 CCTV 리란 쥐안 인터뷰
4,"신종 코로나, 목욕탕 물 통해서도 감염된다?",False,"다수 언론 매체, 온라인 커뮤니티",2046,출처: 다수 언론 매체
4,"""세계 어느 나라도 중국인 입국 금지를 하지 않았다.""",False,이재정 대변인,2052,출처: 2020년 1월 29일 국회 브리핑
4,50도 고량주로 손 소독 가능하다?,False,발언인 없음,2058,
4,"신종 코로나, 강아지ㆍ고양이는 안 걸리나?",True,인터넷 커뮤니티 이용자,2055,출처: 반려동물 관련 온라인 커뮤니티 및 포털사이트 네이버 지식인 질문 사항
4,마늘을 커피처럼 끓여서 마시면 신종 코로나 바이러스 전염병도 완치된다?,False,안상수,2038,
4,정부가 마스크를 세금으로 구입해 중국에 퍼준다?,False,김순례,2036,출처: 2020년 2월 3일 국회 최고위원회의
4,'신종 코로나' 때문에 국내에 중국인 난민 급증한다?,False,페이스북 이용자,2019,
4,중국인 마스크 사재기 막으려고 마스크에 타이완기 그려넣었다?,False,SNS 이용자,2054,출처: 페이스북 게시물
4,"""정부가 국민이 낸 건강보험료로 중국인에게 공짜·할인 혜택을 주고 있다.""",False,인터넷 뉴스 댓글 이용자,2051,
4,"""신종 코로나 감염되면 반드시 폐섬유화 된다?""",False,네이버 카페 이용자,2047,출처: 네이버 카페 '부동산스터디'
4,신종 코로나바이러스는 에이즈를 일으키는 HIV와 유사하다,False,인도 대학 연구진,2043,출처: 바이오 아카이브 사이트 (보고서)
4,"일회용 마스크, 일주일 써도 된다?",False,홍혜걸,2041,출처: 홍혜걸 의학박사 페이스북
