topic_id,topic,T/F,speecher,id,reference
6,"미국 싱크탱크인 CSIS 원장이 ""문재인 대통령은 대한민국 시국에 적합한 대통령이 아닌 것으로 사료된다.""라고 밝혔다",False,SNS와 커뮤니티 이용자,2352,"출처: 인터넷 카페, 블로그, 오픈채팅방 등"
6,6월 10일부터 카톡 보낼 때 돈 내야 한다,False,인터넷 루머,2316,
6,택배 통한 코로나19 감염 가능성 있다?,False,발언인 없음,2301,
6,전자서명법 개정으로 기존 공인인증서 쓸 수 없다,False,온라인 커뮤니티,2292,
6,코로나19 만성감염병 가능성 있다,False,시민 제보,2230,
6,"구충제 이버멕틴, 코로나19 치료제로 효과있다",False,시민 제안,2210,
6,"""로밍 정보 전세계 공유하면 감염병 확산 방지 가능""",True,KT,2158,출처: 다보스 포럼 등 발표
6,소금으로 코로나19 바이러스를 예방·치료한다.,False,인터넷 이용자,2148,
6,"""소금물에 담갔다 말리면 마스크 재활용 가능""",False,트위터 이용자,2131,출처: 시청자 제보 & 트위터 등 SNS
6,공적 판매 마스크를 유통하는 업체와 판매하는 약국이 부당하게 많은 유통·판매 마진을 얻고 있다?,False,인터넷 커뮤니티 이용자,2124,출처: 인터넷 커뮤니티 'MLB 파크'
6,'락스 분무기' 안전하다？,False,유튜브 이용자,2114,출처: 유튜버1
6,우한연구소로 파견되는 미국 친구의 글,False,SNS와 블로그 이용자,2103,"출처: SNS, 블로그 등"
6,"코로나19, 아동한테는 유행하지 않는다?",False,인터넷 이용자,2078,
6,"신종 코로나, 일반 대기를 통해 전염되는 '공기감염병'이다?",False,인터넷 이용자,2063,출처: 유튜브 영상
6,"신종 코로나, 목욕탕 물 통해서도 감염된다?",False,"다수 언론 매체, 온라인 커뮤니티",2046,출처: 다수 언론 매체
6,마늘을 커피처럼 끓여서 마시면 신종 코로나 바이러스 전염병도 완치된다?,False,안상수,2038,
6,신종 코로나바이러스는 에이즈를 일으키는 HIV와 유사하다,False,인도 대학 연구진,2043,출처: 바이오 아카이브 사이트 (보고서)
6,"""후쿠시마가 체르노빌보다 11배 큰 원전사고다""",False,인터넷 루머,2025,출처: 온라인 커뮤니티
6,자율주행차 타면 운전면허 딸 필요 없나?,True,인터넷 댓글 이용자,1997,출처: 지난해 12월 쓴 <자율주행 레벨 4단계 셔틀버스 타보니…운전자는 시동·주차만>기사 보도 후 댓글과 인터넷 커뮤니티에 운전면허 필요성 여부 제기
6,무선 이어폰 오래 쓰면 암 걸린다?,False,SNS 이용자,1987,출처: 네이버카페글
6,“도서정가제 탓에 웹툰·웹소설 무료보기 사라진다”,False,인터넷 커뮤니티 이용자,1905,출처: FM 코리아
6,"유튜브 노란딱지, 보수 유튜버만 골라 억압한다?",False,나경원,1895,"출처: 유튜브 노란딱지, 무엇이 문제인가"
6,목재 껍질 벗기면 세슘에서 안전하다,False,일본 임야청,1841,
6,"후쿠시마 목재 방사선량, 100% 신뢰할 수 있다?",False,후쿠시마현,1840,
6,"후쿠시마 방사능 데이터, 오염 상태를 정확히 보여준다?",False,후쿠시마현,1839,출처: 후쿠시마현의 방사능 데이터
6,"도쿄의 '방사능 핫플레이스', 엑스레이 100만번 찍는 양이다?",False,언론 보도,1838,
6,'0.23μ㏜/h'는 방사능 안전 기준치이다,False,언론 보도,1837,
6,"“갤노트10은 5G 전용폰이라, LTE폰으로 쓸 수 없다.”",False,발언인 없음,1811,
6,여름철 차량 내부의 벤젠 농도가 실내 허용치의 40배까지 올라가 암을 일으킬 수 있다.,False,인터넷 커뮤니티 이용자,1808,출처: 인터넷 커뮤니티
6,"""수소차의 시대는 오지 않는다""",False,엘론 머스크,1744,출처: 2015년 1월 Automotive News World Congress
6,수소 에너지는 전기만큼 저렴해질 수 있다,True,발언인 없음,1741,
6,"""대학교 인근 PC방에서 수강신청하면 서버 연결 속도가 훨씬 빠르다""",False,인터넷 커뮤니티 이용자,1742,출처: 인터넷 커뮤니티 게시물
6,후쿠시마 원전 사고 후 일본이 원전 대신 수소를 선택했다,False,발언인 없음,1739,
6,"""2030년 수소차 누적 생산량을 내수 85만대 포함 총 180만대, 2040년은 내수 290만대·수출 330만대 포함 총 620...",False,산업통상자원부,1726,출처: 1월 17일 산업통상자원부 수소경제 활성화 로드맵
6,"""수소 충전소는 화재 위험성이 높다""",False,발언인 없음,1721,
6,"""일본이 수출 규제를 풀지 않으면 이달말 반도체 공장 가동이 중단될 수 있다.""",False,언론 보도,1701,출처: 2019년 7월 5일 기사
6,"""스마트폰 사용으로 젊은이들 머리에 뿔이 자라고 있다""",False,언론 보도,1686,출처: KBS 기사 <스마트폰 많이 쓰면 머리에 뿔 난다?>
6,"""플라스틱 쓰레기 문제를 해결할 대안은 없다""",False,발언인 없음,1648,
6,담배·홍차·섬유유연제에도 플라스틱이 들어있다,True,발언인 없음,1629,
6,'물로 가는 자동차' 가능?,False,언론 보도,1612,출처: South China Morning Post 5월26일 보도
6,"""수소는 가장 안전한 연료로 평가받는다""",False,정승일,1608,
6,방송통신위원회가 오는 6월부터 국내에서 유튜브 서비스를 차단한다,False,유튜브 이용자,1558,
